decade,shape,count,pct_cases
2020s,light,179,25.39
2020s,circle,112,15.89
2020s,triangle,72,10.21
2020s,other,67,9.5
2020s,sphere,61,8.65
2020s,unknown,40,5.67
2020s,formation,32,4.54
2020s,oval,29,4.11
2020s,cigar,28,3.97
2020s,changing,23,3.26
2020s,rectangle,16,2.27
2020s,chevron,10,1.42
2020s,cylinder,10,1.42
2020s,flash,10,1.42
2020s,teardrop,9,1.28
2020s,cross,4,0.57
2020s,cone,3,0.43
2010s,light,1173,20.86
2010s,circle,890,15.83
2010s,triangle,741,13.18
2010s,other,502,8.93
2010s,sphere,453,8.06
2010s,unknown,385,6.85
2010s,oval,275,4.89
2010s,rectangle,218,3.88
2010s,formation,194,3.45
2010s,changing,182,3.24
2010s,cigar,137,2.44
2010s,flash,127,2.26
2010s,chevron,120,2.13
2010s,cylinder,120,2.13
2010s,teardrop,53,0.94
2010s,cone,27,0.48
2010s,cross,26,0.46
2000s,circle,8,21.05
2000s,unknown,7,18.42
2000s,light,5,13.16
2000s,oval,4,10.53
2000s,triangle,4,10.53
2000s,cigar,2,5.26
2000s,other,2,5.26
2000s,sphere,2,5.26
2000s,chevron,1,2.63
2000s,cylinder,1,2.63
2000s,formation,1,2.63
2000s,teardrop,1,2.63
1990s,triangle,278,23.24
1990s,light,222,18.56
1990s,other,142,11.87
1990s,circle,107,8.95
1990s,sphere,89,7.44
1990s,oval,63,5.27
1990s,unknown,53,4.43
1990s,rectangle,44,3.68
1990s,cigar,42,3.51
1990s,chevron,32,2.68
1990s,changing,28,2.34
1990s,formation,27,2.26
1990s,cylinder,24,2.01
1990s,flash,16,1.34
1990s,teardrop,14,1.17
1990s,cone,8,0.67
1990s,cross,4,0.33
1990s,delta,2,0.17
1990s,round,1,0.08
1980s,triangle,77,21.75
1980s,other,44,12.43
1980s,circle,40,11.3
1980s,sphere,38,10.73
1980s,oval,32,9.04
1980s,rectangle,30,8.47
1980s,light,28,7.91
1980s,unknown,20,5.65
1980s,cigar,16,4.52
1980s,chevron,8,2.26
1980s,formation,7,1.98
1980s,cylinder,6,1.69
1980s,changing,4,1.13
1980s,flash,3,0.85
1980s,cone,1,0.28
1970s,circle,56,16.87
1970s,triangle,50,15.06
1970s,light,40,12.05
1970s,oval,36,10.84
1970s,cigar,34,10.24
1970s,other,32,9.64
1970s,sphere,32,9.64
1970s,rectangle,14,4.22
1970s,unknown,14,4.22
1970s,chevron,8,2.41
1970s,changing,5,1.51
1970s,cylinder,5,1.51
1970s,cross,2,0.6
1970s,flash,2,0.6
1970s,cone,1,0.3
1970s,formation,1,0.3
1960s,circle,28,18.42
1960s,sphere,28,18.42
1960s,light,25,16.45
1960s,cigar,16,10.53
1960s,oval,14,9.21
1960s,other,13,8.55
1960s,triangle,10,6.58
1960s,unknown,5,3.29
1960s,changing,4,2.63
1960s,rectangle,4,2.63
1960s,cylinder,3,1.97
1960s,formation,2,1.32
1950s,cigar,9,19.15
1950s,circle,8,17.02
1950s,oval,8,17.02
1950s,light,7,14.89
1950s,unknown,7,14.89
1950s,sphere,3,6.38
1950s,triangle,2,4.26
1950s,cylinder,1,2.13
1950s,formation,1,2.13
1950s,other,1,2.13
1940s,circle,5,38.46
1940s,formation,2,15.38
1940s,other,2,15.38
1940s,cigar,1,7.69
1940s,cylinder,1,7.69
1940s,flash,1,7.69
1940s,unknown,1,7.69
1930s,triangle,1,100.0
1920s,circle,1,100.0
